bioguide_id	party	gender	title	birthdate	firstname	middlename	lastname	name_suffix	state	district	senate_class	website	fec_id	twitter_id
B001267	D	M	Sen	1964-11-28	Michael	F.	Bennet		CO	Senior Seat	III	https://www.bennet.senate.gov	S0CO00211	SenBennetCo
S001198	R	M	Sen	1964-11-13	Dan		Sullivan		AK	Junior Seat	II	https://www.sullivan.senate.gov	S4AK00214	SenDanSullivan
H001075	D	F	Sen	1964-10-20	Kamala		Harris		CA	Junior Seat	III	https://www.harris.senate.gov	S6CA00584	SenKamalaHarris
C001113	D	F	Sen	1964-03-29	Catherine		Cortez Masto		NV	Junior Seat	III	https://www.cortezmasto.senate.gov	S6NV00200	sencortezmasto
C001088	D	M	Sen	1963-09-09	Chris	Andrew	Coons		DE	Junior Seat	II	https://www.coons.senate.gov	S0DE00092	SenCoonsOffice
P000603	R	M	Sen	1963-01-07	Rand		Paul		KY	Junior Seat	III	https://www.paul.senate.gov	S0KY00156	
F000444	R	M	Sen	1962-12-31	Jeff		Flake		AZ	Junior Seat	I	https://www.flake.senate.gov/public	H0AZ01184	JeffFlake
D000618	R	M	Sen	1962-08-20	Steve		Daines		MT	Junior Seat	II	https://www.daines.senate.gov	H2MT01060	SteveDaines
B001230	D	F	Sen	1962-02-11	Tammy		Baldwin		WI	Junior Seat	I	https://www.baldwin.senate.gov	H8WI00018	SenatorBaldwin
T000461	R	M	Sen	1961-11-17	Patrick	J.	Toomey		PA	Junior Seat	III	https://www.toomey.senate.gov	S4PA00121	SenToomey
T000250	R	M	Sen	1961-01-07	John		Thune		SD	Senior Seat	III	https://www.thune.senate.gov	S2SD00068	SenJohnThune
T000476	R	M	Sen	1960-08-30	Thom		Tillis		NC	Junior Seat	II	https://www.tillis.senate.gov/public	S4NC00162	senthomtillis
K000367	D	F	Sen	1960-05-25	Amy	Jean	Klobuchar		MN	Senior Seat	I	https://www.klobuchar.senate.gov	S6MN00267	
H001041	R	M	Sen	1960-05-10	Dean		Heller		NV	Senior Seat	I	https://www.heller.senate.gov/public	H6NV02164	SenDeanHeller
C001070	D	M	Sen	1960-04-13	Robert	P.	Casey	Jr.	PA	Senior Seat	I	https://www.casey.senate.gov	S6PA00217	SenBobCasey
V000128	D	M	Sen	1959-01-10	Chris		Van Hollen	Jr.	MD	Junior Seat	III	https://www.vanhollen.senate.gov	H2MD08126	ChrisVanHollen
P000595	D	M	Sen	1958-12-01	Gary	C.	Peters		MI	Junior Seat	II	https://www.peters.senate.gov	H8MI09068	SenGaryPeters
C000127	D	F	Sen	1958-10-13	Maria		Cantwell		WA	Junior Seat	I	https://www.cantwell.senate.gov	S8WA00194	SenatorCantwell
H001076	D	F	Sen	1958-02-27	Margaret	Wood	Hassan		NH	Junior Seat	III	https://www.hassan.senate.gov	S6NH00091	Senatorhassan
K000384	D	M	Sen	1958-02-26	Timothy		Kaine		VA	Junior Seat	I	https://www.kaine.senate.gov	S2VA00142	SenKaineOffice
C001075	R	M	Sen	1957-09-28	Bill		Cassidy		LA	Senior Seat	II	https://www.cassidy.senate.gov	H8LA00017	
M001153	R	F	Sen	1957-05-22	Lisa	A.	Murkowski		AK	Senior Seat	III	https://www.murkowski.senate.gov	S4AK00099	LisaMurkowski
H001061	R	M	Sen	1957-03-13	John		Hoeven		ND	Senior Seat	III	https://www.hoeven.senate.gov	S0ND00093	SenJohnHoeven
M001176	D	M	Sen	1956-10-24	Jeff		Merkley		OR	Junior Seat	II	https://www.merkley.senate.gov	S8OR00207	SenJeffMerkley
T000464	D	M	Sen	1956-08-21	Jon		Tester		MT	Senior Seat	I	https://www.tester.senate.gov	S6MT00162	SenatorTester
P000449	R	M	Sen	1955-12-19	Robert	J.	Portman		OH	Junior Seat	III	https://www.portman.senate.gov	S0OH00133	SenRobPortman
B001135	R	M	Sen	1955-11-30	Richard	M.	Burr		NC	Senior Seat	III	https://www.burr.senate.gov	S4NC00089	SenatorBurr
H001069	D	F	Sen	1955-10-30	Heidi		Heitkamp		ND	Junior Seat	I	https://www.heitkamp.senate.gov/public	S2ND00099	SenatorHeitkamp
W000802	D	M	Sen	1955-10-20	Sheldon		Whitehouse		RI	Junior Seat	I	https://www.whitehouse.senate.gov	S6RI00221	SenWhitehouse
D000607	D	M	Sen	1955-09-28	Joe		Donnelly		IN	Senior Seat	I	https://www.donnelly.senate.gov	H4IN02101	SenDonnelly
G000359	R	M	Sen	1955-07-09	Lindsey	O.	Graham		SC	Senior Seat	II	https://www.lgraham.senate.gov/public	S0SC00149	GrahamBlog
J000293	R	M	Sen	1955-04-08	Ron		Johnson		WI	Senior Seat	III	https://www.ronjohnson.senate.gov	S0WI00197	SenRonJohnson
W000805	D	M	Sen	1954-12-15	Mark		Warner		VA	Senior Seat	II	http://www.warner.senate.gov	S6VA00093	MarkWarner
R000605	R	M	Sen	1954-10-24	Mike		Rounds		SD	Junior Seat	II	https://www.rounds.senate.gov	S4SD00049	SenatorRounds
M000934	R	M	Sen	1954-05-29	Jerry		Moran		KS	Junior Seat	III	http://www.moran.senate.gov	H6KS01096	JerryMoran
M000639	D	M	Sen	1954-01-01	Robert		Menéndez		NJ	Senior Seat	I	https://www.menendez.senate.gov	H2NJ13075	SenatorMenendez
C001047	R	F	Sen	1953-11-26	Shelley	Moore	Capito		WV	Junior Seat	II	https://www.capito.senate.gov	H0WV02138	SenCapito
M001170	D	F	Sen	1953-07-24	Claire		McCaskill		MO	Senior Seat	I	https://www.mccaskill.senate.gov	S6MO00305	McCaskillOffice
S001202	R	M	Sen	1953-03-01	Luther		Strange		AL	Junior Seat	II	https://www.senate.gov/senators/115thCongress/Luther_Strange.htm	S8AL00308	SenatorStrange
C001035	R	F	Sen	1952-12-07	Susan	M.	Collins		ME	Senior Seat	II	https://www.collins.senate.gov	S6ME00159	SenatorCollins
B000944	D	M	Sen	1952-11-09	Sherrod		Brown		OH	Senior Seat	I	https://www.brown.senate.gov	H2OH13033	SenSherrodBrown
C001071	R	M	Sen	1952-08-24	Bob		Corker		TN	Junior Seat	I	https://www.corker.senate.gov	S6TN00216	SenBobCorker
B001261	R	M	Sen	1952-07-21	John	A.	Barrasso		WY	Junior Seat	I	https://www.barrasso.senate.gov	S6WY00068	SenJohnBarrasso
C001056	R	M	Sen	1952-02-02	John		Cornyn		TX	Senior Seat	II	https://www.cornyn.senate.gov	S2TX00106	JohnCornyn
K000393	R	M	Sen	1951-11-21	John	Neely	Kennedy		LA	Junior Seat	III	https://www.kennedy.senate.gov	S4LA00065	SenJohnKennedy
W000437	R	M	Sen	1951-07-05	Roger	F.	Wicker		MS	Junior Seat	I	https://www.wicker.senate.gov	H4MS01078	SenatorWicker
F000457	D	M	Sen	1951-05-21	Alan	Stuart	Franken		MN	Junior Seat	II	https://www.franken.senate.gov	S8MN00438	SenFranken
C000880	R	M	Sen	1951-05-20	Michael	D.	Crapo		ID	Senior Seat	III	https://www.crapo.senate.gov	S8ID00027	MikeCrapo
F000463	R	F	Sen	1951-03-01	Deb		Fischer		NE	Senior Seat	I	https://www.fischer.senate.gov	S2NE00094	SenatorFischer
B001236	R	M	Sen	1950-12-10	John		Boozman		AR	Senior Seat	III	https://www.boozman.senate.gov/public	H2AR03176	JohnBoozman
S000148	D	M	Sen	1950-11-23	Charles	E.	Schumer		NY	Senior Seat	III	https://www.schumer.senate.gov	S8NY00082	SenSchumer
M001111	D	F	Sen	1950-10-11	Patty		Murray		WA	Senior Seat	III	https://www.murray.senate.gov/public	S2WA00189	PattyMurray
S000770	D	F	Sen	1950-04-29	Debbie	Ann	Stabenow		MI	Senior Seat	I	https://www.stabenow.senate.gov	S8MI00281	SenStabenow
B000575	R	M	Sen	1950-01-10	Roy		Blunt		MO	Junior Seat	III	https://www.blunt.senate.gov/public	H6MO07128	RoyBlunt
P000612	R	M	Sen	1949-12-10	David		Perdue		GA	Junior Seat	II	https://www.perdue.senate.gov	S4GA11285	sendavidperdue
R000122	D	M	Sen	1949-11-12	John	F.	Reed		RI	Senior Seat	II	https://www.reed.senate.gov	S6RI00163	SenJackReed
W000817	D	F	Sen	1949-06-22	Elizabeth		Warren		MA	Senior Seat	I	https://www.warren.senate.gov	S2MA00170	SenWarren
W000779	D	M	Sen	1949-05-03	Ron		Wyden		OR	Senior Seat	III	https://www.wyden.senate.gov	S6OR00110	RonWyden
U000039	D	M	Sen	1948-05-18	Tom	S.	Udall		NM	Senior Seat	II	https://www.tomudall.senate.gov	H8NM03097	SenatorTomUdall
H001042	D	F	Sen	1947-11-03	Mazie	K.	Hirono		HI	Junior Seat	I	https://www.hirono.senate.gov	H6HI02251	MazieHirono
M001183	D	M	Sen	1947-08-24	Joe		Manchin	III	WV	Senior Seat	I	http://www.manchin.senate.gov/public	S0WV00090	Sen_JoeManchin
S001181	D	F	Sen	1947-01-28	Jeanne		Shaheen		NH	Senior Seat	II	https://www.shaheen.senate.gov	S0NH00219	SenatorShaheen
C000174	D	M	Sen	1947-01-23	Thomas	Richard	Carper		DE	Senior Seat	I	https://www.carper.senate.gov/public	S8DE00079	SenatorCarper
M000133	D	M	Sen	1946-07-11	Edward	J.	Markey		MA	Junior Seat	II	https://www.markey.senate.gov	H6MA07101	SenMarkey
B001277	D	M	Sen	1946-02-13	Richard		Blumenthal		CT	Senior Seat	III	https://www.blumenthal.senate.gov	S0CT00177	SenBlumenthal
I000055	R	M	Sen	1944-12-28	John	H.	Isakson		GA	Senior Seat	III	https://www.isakson.senate.gov	S6GA00119	SenatorIsakson
D000563	D	M	Sen	1944-11-21	Richard	J.	Durbin		IL	Senior Seat	II	https://www.durbin.senate.gov	S6IL00151	SenatorDurbin
K000383	I	M	Sen	1944-03-31	Angus		King		ME	Junior Seat	I	https://www.king.senate.gov	S2ME00109	SenAngusKing
E000285	R	M	Sen	1944-02-01	Michael	B.	Enzi		WY	Senior Seat	II	https://www.enzi.senate.gov	S6WY00126	SenatorEnzi
C000141	D	M	Sen	1943-10-05	Benjamin	L.	Cardin		MD	Senior Seat	I	https://www.cardin.senate.gov	H6MD03177	SenatorCardin
R000584	R	M	Sen	1943-05-03	James		Risch		ID	Junior Seat	II	http://www.risch.senate.gov	S8ID00092	SenatorRisch
N000032	D	M	Sen	1942-09-29	Bill		Nelson		FL	Senior Seat	I	https://www.billnelson.senate.gov	S8FL00166	SenBillNelson
M000355	R	M	Sen	1942-02-20	Mitch		McConnell		KY	Senior Seat	II	https://www.mcconnell.senate.gov	S2KY00012	McConnellPress
S000033	I	M	Sen	1941-09-08	Bernard		Sanders		VT	Junior Seat	I	https://www.sanders.senate.gov	H8VT01016	SenSanders
A000360	R	M	Sen	1940-07-03	Lamar		Alexander		TN	Senior Seat	II	https://www.alexander.senate.gov/public	S2TN00058	SenAlexander
L000174	D	M	Sen	1940-03-31	Patrick	J.	Leahy		VT	Senior Seat	III	https://www.leahy.senate.gov	S4VT00017	SenatorLeahy
C000567	R	M	Sen	1937-12-07	Thad		Cochran		MS	Senior Seat	II	http://www.cochran.senate.gov	S8MS00055	SenThadCochran
M000303	R	M	Sen	1936-08-29	John	S.	McCain		AZ	Senior Seat	III	https://www.mccain.senate.gov	S6AZ00019	SenJohnMcCain
R000307	R	M	Sen	1936-04-20	Pat		Roberts		KS	Senior Seat	II	https://www.roberts.senate.gov	S6KS00080	SenPatRoberts
I000024	R	M	Sen	1934-11-17	James	M.	Inhofe		OK	Senior Seat	II	https://www.inhofe.senate.gov	S4OK00083	InhofePress
S000320	R	M	Sen	1934-05-06	Richard	C.	Shelby		AL	Senior Seat	III	https://www.shelby.senate.gov	S6AL00013	SenShelby
H000338	R	M	Sen	1934-03-22	Orrin	G.	Hatch		UT	Senior Seat	I	http://www.hatch.senate.gov	S6UT00063	SenOrrinHatch
G000386	R	M	Sen	1933-09-17	Charles	E.	Grassley		IA	Senior Seat	III	https://www.grassley.senate.gov	S0IA00028	ChuckGrassley
F000062	D	F	Sen	1933-06-22	Dianne		Feinstein		CA	Senior Seat	I	https://www.feinstein.senate.gov	S0CA00199	SenFeinstein
